State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,Equatorial Guinea,2024,"95,917,859"
All States,All Commodities,Equatorial Guinea,2025,"84,170,831"
All States,All Commodities,Equatorial Guinea,2026 through January,"3,984,502"
All States,All Commodities,Eritrea,2020,"18,675,177"
All States,All Commodities,Eritrea,2021,"26,735,638"
All States,All Commodities,Eritrea,2022,"32,751,875"
All States,All Commodities,Eritrea,2023,"24,716,985"
All States,All Commodities,Eritrea,2024,"45,613,212"
All States,All Commodities,Eritrea,2025,"4,623,963"
All States,All Commodities,Eritrea,2026 through January,"29,757"
All States,All Commodities,Estonia,2020,"344,890,543"
All States,All Commodities,Estonia,2021,"449,779,651"
All States,All Commodities,Estonia,2022,"404,618,986"
All States,All Commodities,Estonia,2023,"369,367,916"
All States,All Commodities,Estonia,2024,"373,860,622"
All States,All Commodities,Estonia,2025,"396,882,676"
All States,All Commodities,Estonia,2026 through January,"24,701,178"
All States,All Commodities,Eswatini,2020,"21,235,337"
All States,All Commodities,Eswatini,2021,"36,498,601"
All States,All Commodities,Eswatini,2022,"72,507,866"
All States,All Commodities,Eswatini,2023,"37,509,830"
All States,All Commodities,Eswatini,2024,"46,113,517"
All States,All Commodities,Eswatini,2025,"44,293,825"
All States,All Commodities,Eswatini,2026 through January,"2,149,325"
All States,All Commodities,Ethiopia,2020,"910,941,291"
All States,All Commodities,Ethiopia,2021,"575,479,476"
All States,All Commodities,Ethiopia,2022,"1,084,205,744"
All States,All Commodities,Ethiopia,2023,"1,219,631,082"
All States,All Commodities,Ethiopia,2024,"1,016,672,164"
All States,All Commodities,Ethiopia,2025,"1,435,640,141"
All States,All Commodities,Ethiopia,2026 through January,"52,323,421"
All States,All Commodities,Falkland Islands (Islas Malvinas),2020,"305,611"
All States,All Commodities,Falkland Islands (Islas Malvinas),2021,"335,770"
All States,All Commodities,Falkland Islands (Islas Malvinas),2022,"164,093"
All States,All Commodities,Falkland Islands (Islas Malvinas),2023,"466,095"
